iter	Logloss
0	0.6176735337
1	0.5466608896
2	0.4946387934
3	0.4478743768
4	0.4037558273
5	0.3730797472
6	0.346785884
7	0.3217926943
8	0.3073035652
9	0.2914882643
10	0.2781717612
11	0.2673308164
12	0.2552407096
13	0.2456315126
14	0.2387532278
15	0.2316288975
16	0.2266178372
17	0.2216449292
18	0.2157570946
19	0.2113520932
20	0.2066920732
21	0.203178079
22	0.1995302059
23	0.1961203369
24	0.1923428112
25	0.1896055613
26	0.1859538502
27	0.1818623637
28	0.1785571459
29	0.1758308418
30	0.1736369107
31	0.1710826302
32	0.1690168632
33	0.1671732385
34	0.1656169425
35	0.1640952042
36	0.161791391
37	0.159471636
38	0.1572056268
39	0.1562198781
40	0.1555190922
41	0.15396801
42	0.1525535233
43	0.1509159301
44	0.1488935521
45	0.1478274146
46	0.1465149238
47	0.1447447821
48	0.1437901044
49	0.1422106835
50	0.1410494786
51	0.1403654224
52	0.1392587514
53	0.1384891669
54	0.1377221963
55	0.136492414
56	0.135656376
57	0.1349523841
58	0.1344008531
59	0.1335625366
60	0.132547662
61	0.1318292218
62	0.1303314256
63	0.1294083406
64	0.1289279501
65	0.1272912296
66	0.1265268366
67	0.1254721945
68	0.1241360888
69	0.1231898594
70	0.1228771239
71	0.1218411348
72	0.121111991
73	0.1205111525
74	0.119916734
75	0.1195775867
76	0.1187275286
77	0.1173983888
78	0.1168651454
79	0.116203614
80	0.1155950712
81	0.1148325513
82	0.1138860367
83	0.1129088054
84	0.1122482489
85	0.1114098001
86	0.1104754653
87	0.109971107
88	0.1085153977
89	0.1074764369
90	0.106604221
91	0.105636547
92	0.1049850969
93	0.1039989479
94	0.103373677
95	0.1029048798
96	0.1020767385
97	0.1014683195
98	0.1011252794
99	0.1007435272
100	0.1003342753
101	0.1000844278
102	0.09947035726
103	0.09836990327
104	0.0977522139
105	0.09726878173
106	0.09702427983
107	0.09624098855
108	0.09547923454
109	0.09472072917
110	0.0938055743
111	0.09342443197
112	0.0927732807
113	0.0924709277
114	0.09144353282
115	0.09088980033
116	0.09029221134
117	0.089526671
118	0.08909524909
119	0.08853047868
120	0.08778855285
121	0.08701252998
122	0.08650268962
123	0.08554649413
124	0.08482488088
125	0.08392109303
126	0.08303237997
127	0.08278461755
128	0.08236243748
129	0.08173770683
130	0.08136839082
131	0.08100590782
132	0.08015384778
133	0.07944430945
134	0.07891821821
135	0.07804029071
136	0.07747232721
137	0.07706655586
138	0.07667368737
139	0.07588703061
140	0.07519020286
141	0.0747686018
142	0.07418947745
143	0.07367657125
144	0.07300854434
145	0.07202550745
146	0.07172569381
147	0.07105000529
148	0.07067272651
149	0.07031688521
